headline,category,source
"Petrol fiyatı 115 doları gördü, borsalar düşüşte",Ekonomi,BBC Turkce
Sephora'ya 'çocukları hedefleyen sinsi pazarlama' soruşturması,Ekonomi,BBC Turkce
Hürmüz Boğazı İran savaşında neden bu kadar önemli hale geldi?,Ekonomi,BBC Turkce
Altın fiyatlarında düşüş sürüyor,Ekonomi,BBC Turkce
İran savaşı Körfez'in 'güvenli liman' imajını nasıl yıktı?,Ekonomi,BBC Turkce
Enerji krizi: ABD İran'ın bazı petrol ürünlerine yaptırımları kaldırdı,Ekonomi,BBC Turkce
"Tekstil, gıda, plastik, teknoloji: Savaş Türkiye ekonomisini nasıl etkileyebilir?",Ekonomi,BBC Turkce
"Bakan Bayraktar: 'Türkiye 11,6 milyon varil petrolü serbest bırakacak'",Ekonomi,BBC Turkce
"Merkez Bankası politika faizini %37'de sabit tuttu, ekonomistler nasıl yorumladı?",Ekonomi,BBC Turkce
400 milyon varillik petrol rezervinin serbest bırakılması ne anlama geliyor?,Ekonomi,BBC Turkce
Trump'ın çelişkili mesajları savaşın sonuyla ilgili soru işaretlerini artırdı,Ekonomi,BBC Turkce
"Trump 'savaşın sonu yakın' dedi, petrol fiyatları 100 doların altına indi",Ekonomi,BBC Turkce
İran'daki savaş Türkiye ve dünya ekonomisini nasıl etkileyebilir?,Ekonomi,BBC Turkce
"Evlenme oranı düştü, boşanma oranı arttı, ortalama evlenme yaşı yükseldi",Ekonomi,BBC Turkce
Yemek tarifleriyle gıda enflasyonu: Fiyatlar 7 yılda nasıl arttı?,Ekonomi,BBC Turkce
Taksilerde kartla ödeme kabulü zorunlu oldu: Kart komisyonu tartışmasında son durum ne?,Ekonomi,BBC Turkce
"Merkez Bankası 2026 enflasyon tahminini yükseltti, ekonomistler nasıl yorumluyor?",Ekonomi,BBC Turkce
"2026'nın en çalkantılı haftasından sonra altın, gümüş ve borsalar haftaya nasıl başladı?",Ekonomi,BBC Turkce
