headline,category,source
Galatasaray'da Trabzonspor maçı mesaisi!,Spor,Haberturk
"Anadolu Efes, Maccabi Rapyd deplasmanında!",Spor,Haberturk
Euroleague'de Mart ayının MVP'si Carlik Jones!,Spor,Haberturk
Montella'ya basın toplantısında sulu kutlama!,Spor,Haberturk
FIFA Başkanı Infantino'dan Türkiye'ye tebrik!,Spor,Haberturk
"""Bizim için çok verimli geçen bir ara oldu""",Spor,Haberturk
Kosova'ya Cumhurbaşkanlığı Liyakat Madalyası!,Spor,Haberturk
"Bosnalı futbolcular, İsraillileri protesto etti!",Spor,Haberturk
"Bizim Çocuklar, İstanbul'a döndü!",Spor,Haberturk
"""İkinci maç farklı olacak!""",Spor,Haberturk
"""Çalışmaya devam etmeliyiz""",Spor,Haberturk
İran'dan Kosta Rika'ya farklı tarife!,Spor,Haberturk
Infantino'dan İran açıklaması!,Spor,Haberturk
Tottenham'da Roberto De Zerbi dönemi!,Spor,Haberturk
Bengisu Avcı'ya İrlanda'da ödül!,Spor,Haberturk
Selçuk İnan'dan yeni sözleşme açıklaması!,Spor,Haberturk
Alanyaspor'da Efecan Karaca ameliyat edildi!,Spor,Haberturk
İspanya'da ayın golü Arda Güler'den!,Spor,Haberturk
Beşiktaş GAİN'de sakatlık!,Spor,Haberturk
Appiah'tan Fenerbahçe'ye ziyaret!,Spor,Haberturk
Beşiktaş'ta derbi hazırlıkları sürüyor!,Spor,Haberturk
Türkiye-Kosova maçı özet analizleri,Spor,Haberturk
İlkler Montella'nın işi!,Spor,Haberturk
"""Dünya Kupası'nı alacağız!""",Spor,Haberturk
İtalya'ya Bosna-Hersek şoku!,Spor,Haberturk
Montella: Hayallerimize kavuştuk!,Spor,Haberturk
Hakan Çalhanoğlu: Yüce Rabbim bizimle!,Spor,Haberturk
"""Delice duygular yaşıyoruz!""",Spor,Haberturk
Arda Güler: Allah bize nasip etti!,Spor,Haberturk
"""Çok mutlu ve gururluyum!""",Spor,Haberturk
Barış Alper Yılmaz'dan babasına mesaj!,Spor,Haberturk
"""Dünya Kupası hepimizin hayaliydi""",Spor,Haberturk
Türk Telekom seride öne geçti!,Spor,Haberturk
Cumhurbaşkanı Erdoğan'dan A Milli Takım'a tebrik!,Spor,Haberturk
Dünya Kupası resmi hesabından Türkiye paylaşımı!,Spor,Haberturk
Çeyrek asırlık hasret sona erdi!,Spor,Haberturk
"Beşiktaş, EuroCup yarı finalinde avantajı kaptı!",Spor,Haberturk
Vincenzo Montella'dan 3 değişiklik!,Spor,Haberturk
F.Bahçe Beko'da sakatlık!,Spor,Haberturk
Ziraat Bankkart dörtlü finalde!,Spor,Haberturk
Galatasaray'da Osimhen gelişmesi!,Spor,Haberturk
Egemen Korkmaz maç sırasında yere yığıldı!,Spor,Haberturk
"Fenerbahçe'de ara sona erdi, derbi mesaisi başladı!",Spor,Haberturk
UEFA'dan Hatice Aydın Duygu'ya görev!,Spor,Haberturk
"""Nerede oynadığım benim için çok fark etmiyor""",Spor,Haberturk
"""Her maç ve her puan önemli""",Spor,Haberturk
"Emirhan Topçu ve El Bilal Toure, takımla çalıştı!",Spor,Haberturk
Dünya Kupası'na katılırsak ne kadar kazanacağız?,Spor,Haberturk
"""Şanslar kesinlikle yarı yarıya!""",Spor,Haberturk
Almada transferinde G.Saray'a dev rakip!,Spor,Haberturk
Kosova maçı öncesi yemek organizasyonu!,Spor,Haberturk
Potadaki derbide final serisi heyecanı sürüyor!,Spor,Haberturk
"""Trabzonspor'un önemli bir parçası olmak istiyorum""",Spor,Haberturk
Ümit Akdağ'dan milli takım itirafı!,Spor,Haberturk
"Fatih Terim: Bu ülke, en iyisine layık!",Spor,Haberturk
